Wavelength	Transit Depth
(meters)	(percent)
4.388966e-07	8.371385e-03
4.393348e-07	8.371447e-03
4.397735e-07	8.371639e-03
4.402126e-07	8.371944e-03
4.406522e-07	8.372202e-03
4.410922e-07	8.372282e-03
4.415327e-07	8.372164e-03
4.419735e-07	8.371904e-03
4.424149e-07	8.371590e-03
4.428566e-07	8.371299e-03
4.432988e-07	8.371076e-03
4.437415e-07	8.370927e-03
4.441846e-07	8.370812e-03
4.446281e-07	8.370710e-03
4.450721e-07	8.370644e-03
4.455165e-07	8.370601e-03
4.459614e-07	8.370558e-03
4.464067e-07	8.370515e-03
4.468525e-07	8.370473e-03
4.472987e-07	8.370431e-03
4.477453e-07	8.370388e-03
4.481924e-07	8.370346e-03
4.486399e-07	8.370315e-03
4.490879e-07	8.370268e-03
4.495363e-07	8.370221e-03
4.499852e-07	8.370197e-03
4.504345e-07	8.370158e-03
4.508843e-07	8.370134e-03
4.513345e-07	8.370093e-03
4.517852e-07	8.370060e-03
4.522363e-07	8.370029e-03
4.526879e-07	8.369989e-03
4.531399e-07	8.369979e-03
4.535924e-07	8.369962e-03
4.540453e-07	8.369942e-03
4.544987e-07	8.369923e-03
4.549526e-07	8.369904e-03
4.554068e-07	8.369875e-03
4.558616e-07	8.369848e-03
4.563168e-07	8.369843e-03
4.567724e-07	8.369828e-03
4.572285e-07	8.369831e-03
4.576851e-07	8.369853e-03
4.581421e-07	8.369902e-03
4.585996e-07	8.370008e-03
4.590575e-07	8.370102e-03
4.595159e-07	8.370174e-03
4.599747e-07	8.370087e-03
4.604340e-07	8.369813e-03
4.608938e-07	8.369581e-03
4.613540e-07	8.369411e-03
4.618147e-07	8.369279e-03
4.622758e-07	8.369183e-03
4.627374e-07	8.369119e-03
4.631995e-07	8.369097e-03
4.636620e-07	8.369060e-03
4.641250e-07	8.369023e-03
4.645885e-07	8.368995e-03
4.650524e-07	8.368991e-03
4.655167e-07	8.368982e-03
4.659816e-07	8.368967e-03
4.664469e-07	8.368911e-03
4.669126e-07	8.368854e-03
4.673789e-07	8.368797e-03
4.678456e-07	8.368751e-03
4.683127e-07	8.368701e-03
4.687803e-07	8.368644e-03
4.692484e-07	8.368608e-03
4.697170e-07	8.368577e-03
4.701860e-07	8.368555e-03
4.706555e-07	8.368508e-03
4.711255e-07	8.368482e-03
4.715959e-07	8.368450e-03
4.720668e-07	8.368434e-03
4.725382e-07	8.368399e-03
4.730101e-07	8.368374e-03
4.734824e-07	8.368336e-03
4.739552e-07	8.368296e-03
4.744284e-07	8.368283e-03
4.749022e-07	8.368288e-03
4.753764e-07	8.368284e-03
4.758511e-07	8.368270e-03
4.763262e-07	8.368267e-03
4.768018e-07	8.368277e-03
4.772779e-07	8.368312e-03
4.777545e-07	8.368359e-03
